USER_ID,ITEM_ID,TIMESTAMP,InteractionType,Rating,UsageDuration,UsageFrequency,CostIncurred,TimeSpent,Converted
u001,s003,1707955200,View,,,,,120.0,False
u001,s003,1707955200,Compare,,,,,180.0,False
u001,s003,1708387200,Deploy,4.5,30.0,Daily,1200.0,,True
u001,s007,1707955200,View,,,,,45.0,False
u001,s007,1708387200,Deploy,4.0,30.0,Daily,300.0,,True
u001,s011,1708387200,Deploy,4.2,30.0,Daily,1500.0,,True
u002,s002,1709251200,View,,,,,90.0,False
u002,s002,1709251200,Documentation,,,,,300.0,False
u002,s002,1710028800,Deploy,3.8,14.0,Weekly,50.0,,True
u002,s006,1709251200,View,,,,,60.0,False
u002,s006,1710028800,Deploy,4.0,14.0,Daily,25.0,,True
u003,s012,1704844800,View,,,,,75.0,False
u003,s012,1705276800,Deploy,4.8,60.0,Daily,200.0,,True
u003,s016,1704844800,View,,,,,60.0,False
u003,s016,1705276800,Deploy,4.7,60.0,Daily,150.0,,True
u003,s017,1705276800,Deploy,4.5,60.0,Daily,180.0,,True
u004,s001,1707091200,View,,,,,120.0,False
u004,s001,1707091200,Compare,,,,,240.0,False
u004,s005,1707091200,View,,,,,150.0,False
u004,s005,1708819200,Deploy,4.2,45.0,Daily,2000.0,,True
